shr;0;95;9;9;earn;1,977723605;-1,977723605
ibc;0;42;4;4;coffee;1,62324929;-1,62324929
slaughter;0;35;14;14;livestock;1,544068044;-1,544068044
div;0;29;9;9;earn;1,462397998;-1,462397998
note:;0;27;9;9;earn;1,431363764;-1,431363764
usair;0;27;1;1;acq;1,431363764;-1,431363764
pdvsa;0;23;7;7;crude;1,361727836;-1,361727836
gencorp;0;21;1;1;acq;1,322219295;-1,322219295
czarnikow;0;20;22;22;sugar;1,301029996;-1,301029996
twa;0;20;1;1;acq;1,301029996;-1,301029996
temporao;0;20;3;3;cocoa;1,301029996;-1,301029996
guesstim;0;20;14;14;livestock;1,301029996;-1,301029996
gaf;0;18;1;1;acq;1,255272505;-1,255272505
bullion;0;18;11;11;gold;1,255272505;-1,255272505
cyclop;0;18;1;1;acq;1,255272505;-1,255272505
lukman;0;17;7;7;crude;1,230448921;-1,230448921
qtly;0;17;9;9;earn;1,230448921;-1,230448921
dixon;0;17;1;1;acq;1,230448921;-1,230448921
mhi;0;17;20;20;ship;1,230448921;-1,230448921
hernandez;0;16;7;7;crude;1,204119983;-1,204119983
gaviria;0;16;4;4;coffee;1,204119983;-1,204119983
transamerican;0;16;17;17;nat-gas;1,204119983;-1,204119983
darman;0;16;15;15;money-fx;1,204119983;-1,204119983
managua;0;15;4;4;coffee;1,176091259;-1,176091259
yulo;0;15;22;22;sugar;1,176091259;-1,176091259
discontinu;0;14;9;9;earn;1,146128036;-1,146128036
cpc;0;14;1;1;acq;1,146128036;-1,146128036
champlin;0;14;7;7;crude;1,146128036;-1,146128036
nppc;0;14;14;14;livestock;1,146128036;-1,146128036
ounce;0;14;11;11;gold;1,146128036;-1,146128036
pennzoil;0;13;17;17;nat-gas;1,113943352;-1,113943352
cyacq;0;13;1;1;acq;1,113943352;-1,113943352
intersect;0;13;11;11;gold;1,113943352;-1,113943352
lockout;0;13;14;14;livestock;1,113943352;-1,113943352
lipc;0;13;14;14;livestock;1,113943352;-1,113943352
iso;0;12;22;22;sugar;1,079181246;-1,079181246
robusta;0;12;4;4;coffee;1,079181246;-1,079181246
sigma;0;12;11;11;gold;1,079181246;-1,079181246
acceptances;0;12;16;16;money-supply;1,079181246;-1,079181246
mint;0;12;11;11;gold;1,079181246;-1,079181246
erbynn;0;12;3;3;cocoa;1,079181246;-1,079181246
troi;0;12;11;11;gold;1,079181246;-1,079181246
distil;0;11;7;7;crude;1,041392685;-1,041392685
zack;0;11;14;14;livestock;1,041392685;-1,041392685
placer;0;11;11;11;gold;1,041392685;-1,041392685
cherri;0;11;4;4;coffee;1,041392685;-1,041392685
tmoc;0;11;17;17;nat-gas;1,041392685;-1,041392685
sheikh;0;10;7;7;crude;1;-1
ina;0;10;7;7;crude;1;-1
roast;0;10;4;4;coffee;1;-1
chevron;0;10;7;7;crude;1;-1
meatpack;0;10;14;14;livestock;1;-1
arkla;0;10;17;17;nat-gas;1;-1
tvx;0;10;11;11;gold;1;-1
gram;0;10;11;11;gold;1;-1
levon;0;10;11;11;gold;1;-1
satur;0;10;24;24;veg-oil;1;-1
dlrsbbl;0;10;7;7;crude;1;-1
geodom;0;10;11;11;gold;1;-1
lac;0;10;11;11;gold;1;-1
chemlawn;0;10;1;1;acq;1;-1
harper;0;10;1;1;acq;1;-1
glesk;0;9;8;8;dlr;0,954242509;-0,954242509
navig;0;9;20;20;ship;0,954242509;-0,954242509
arango;0;9;4;4;coffee;0,954242509;-0,954242509
chipmak;0;9;23;23;trade;0,954242509;-0,954242509
levitt;0;9;14;14;livestock;0,954242509;-0,954242509
width;0;9;11;11;gold;0,954242509;-0,954242509
snyder;0;9;1;1;acq;0,954242509;-0,954242509
avon;0;9;1;1;acq;0,954242509;-0,954242509
minework;0;9;11;11;gold;0,954242509;-0,954242509
newmont;0;9;11;11;gold;0,954242509;-0,954242509
kobena;0;9;3;3;cocoa;0,954242509;-0,954242509
heyman;0;9;1;1;acq;0,954242509;-0,954242509
ldp;0;9;23;23;trade;0,954242509;-0,954242509
purol;0;8;1;1;acq;0,903089987;-0,903089987
britannia;0;8;11;11;gold;0,903089987;-0,903089987
grisanti;0;8;7;7;crude;0,903089987;-0,903089987
galveston;0;8;1;1;acq;0,903089987;-0,903089987
cholesterol;0;8;24;24;veg-oil;0,903089987;-0,903089987
ibp;0;8;14;14;livestock;0,903089987;-0,903089987
nzfp;0;8;1;1;acq;0,903089987;-0,903089987
eurosterl;0;8;13;13;interest;0,903089987;-0,903089987
unoc;0;8;17;17;nat-gas;0,903089987;-0,903089987
hock;0;8;4;4;coffee;0,903089987;-0,903089987
roaster;0;8;4;4;coffee;0,903089987;-0,903089987
iida;0;8;20;20;ship;0,903089987;-0,903089987
preciou;0;8;11;11;gold;0,903089987;-0,903089987
kramer;0;8;10;10;gnp;0,903089987;-0,903089987
sugarbeet;0;8;22;22;sugar;0,903089987;-0,903089987
carolin;0;8;11;11;gold;0,903089987;-0,903089987
penner;0;8;10;10;gnp;0,903089987;-0,903089987
transco;0;8;17;17;nat-gas;0,903089987;-0,903089987
nicaragua;0;8;4;4;coffee;0,903089987;-0,903089987
channon;0;8;23;23;trade;0,903089987;-0,903089987
ufcwu;0;8;14;14;livestock;0,903089987;-0,903089987
butan;0;8;17;17;nat-gas;0,903089987;-0,903089987
mth;0;8;9;9;earn;0,903089987;-0,903089987
king;0;8;7;7;crude;0,903089987;-0,903089987
dharyono;0;7;4;4;coffee;0,84509804;-0,84509804
erad;0;7;14;14;livestock;0,84509804;-0,84509804
propan;0;7;17;17;nat-gas;0,84509804;-0,84509804
rostenkowski;0;7;23;23;trade;0,84509804;-0,84509804
salmonella;0;7;14;14;livestock;0,84509804;-0,84509804
ined;0;7;14;14;livestock;0,84509804;-0,84509804
anneslei;0;7;1;1;acq;0,84509804;-0,84509804
greek;0;7;20;20;ship;0,84509804;-0,84509804
weinberg;0;7;20;20;ship;0,84509804;-0,84509804
sugarcan;0;7;22;22;sugar;0,84509804;-0,84509804
asamera;0;7;11;11;gold;0,84509804;-0,84509804
nbh;0;7;11;11;gold;0,84509804;-0,84509804
princevil;0;7;1;1;acq;0,84509804;-0,84509804
harcourt;0;7;1;1;acq;0,84509804;-0,84509804
norgold;0;7;11;11;gold;0,84509804;-0,84509804
geplacea;0;7;22;22;sugar;0,84509804;-0,84509804
