shr;0;95;9;1,977723605;1,977723605;earn
ibc;0;42;4;1,62324929;1,62324929;coffee
slaughter;0;35;14;1,544068044;1,544068044;livestock
div;0;29;9;1,462397998;1,462397998;earn
usair;0;27;1;1,431363764;1,431363764;acq
pdvsa;0;23;7;1,361727836;1,361727836;crude
gencorp;0;21;1;1,322219295;1,322219295;acq
czarnikow;0;20;22;1,301029996;1,301029996;sugar
twa;0;20;1;1,301029996;1,301029996;acq
temporao;0;20;3;1,301029996;1,301029996;cocoa
guesstim;0;20;14;1,301029996;1,301029996;livestock
gaf;0;18;1;1,255272505;1,255272505;acq
bullion;0;18;11;1,255272505;1,255272505;gold
cyclop;0;18;1;1,255272505;1,255272505;acq
lukman;0;17;7;1,230448921;1,230448921;crude
qtly;0;17;9;1,230448921;1,230448921;earn
dixon;0;17;1;1,230448921;1,230448921;acq
mhi;0;17;20;1,230448921;1,230448921;ship
hernandez;0;16;7;1,204119983;1,204119983;crude
gaviria;0;16;4;1,204119983;1,204119983;coffee
transamerican;0;16;17;1,204119983;1,204119983;nat-gas
darman;0;16;15;1,204119983;1,204119983;money-fx
managua;0;15;4;1,176091259;1,176091259;coffee
yulo;0;15;22;1,176091259;1,176091259;sugar
discontinu;0;14;9;1,146128036;1,146128036;earn
cpc;0;14;1;1,146128036;1,146128036;acq
champlin;0;14;7;1,146128036;1,146128036;crude
nppc;0;14;14;1,146128036;1,146128036;livestock
ounce;0;14;11;1,146128036;1,146128036;gold
pennzoil;0;13;17;1,113943352;1,113943352;nat-gas
cyacq;0;13;1;1,113943352;1,113943352;acq
intersect;0;13;11;1,113943352;1,113943352;gold
lockout;0;13;14;1,113943352;1,113943352;livestock
lipc;0;13;14;1,113943352;1,113943352;livestock
iso;0;12;22;1,079181246;1,079181246;sugar
robusta;0;12;4;1,079181246;1,079181246;coffee
sigma;0;12;11;1,079181246;1,079181246;gold
acceptances;0;12;16;1,079181246;1,079181246;money-supply
mint;0;12;11;1,079181246;1,079181246;gold
erbynn;0;12;3;1,079181246;1,079181246;cocoa
troi;0;12;11;1,079181246;1,079181246;gold
distil;0;11;7;1,041392685;1,041392685;crude
zack;0;11;14;1,041392685;1,041392685;livestock
placer;0;11;11;1,041392685;1,041392685;gold
cherri;0;11;4;1,041392685;1,041392685;coffee
tmoc;0;11;17;1,041392685;1,041392685;nat-gas
sheikh;0;10;7;1;1;crude
ina;0;10;7;1;1;crude
roast;0;10;4;1;1;coffee
chevron;0;10;7;1;1;crude
meatpack;0;10;14;1;1;livestock
arkla;0;10;17;1;1;nat-gas
tvx;0;10;11;1;1;gold
gram;0;10;11;1;1;gold
levon;0;10;11;1;1;gold
satur;0;10;24;1;1;veg-oil
dlrsbbl;0;10;7;1;1;crude
geodom;0;10;11;1;1;gold
lac;0;10;11;1;1;gold
chemlawn;0;10;1;1;1;acq
harper;0;10;1;1;1;acq
glesk;0;9;8;0,954242509;0,954242509;dlr
navig;0;9;20;0,954242509;0,954242509;ship
arango;0;9;4;0,954242509;0,954242509;coffee
chipmak;0;9;23;0,954242509;0,954242509;trade
levitt;0;9;14;0,954242509;0,954242509;livestock
width;0;9;11;0,954242509;0,954242509;gold
snyder;0;9;1;0,954242509;0,954242509;acq
avon;0;9;1;0,954242509;0,954242509;acq
minework;0;9;11;0,954242509;0,954242509;gold
newmont;0;9;11;0,954242509;0,954242509;gold
kobena;0;9;3;0,954242509;0,954242509;cocoa
heyman;0;9;1;0,954242509;0,954242509;acq
ldp;0;9;23;0,954242509;0,954242509;trade
purol;0;8;1;0,903089987;0,903089987;acq
britannia;0;8;11;0,903089987;0,903089987;gold
grisanti;0;8;7;0,903089987;0,903089987;crude
galveston;0;8;1;0,903089987;0,903089987;acq
cholesterol;0;8;24;0,903089987;0,903089987;veg-oil
ibp;0;8;14;0,903089987;0,903089987;livestock
nzfp;0;8;1;0,903089987;0,903089987;acq
eurosterl;0;8;13;0,903089987;0,903089987;interest
unoc;0;8;17;0,903089987;0,903089987;nat-gas
hock;0;8;4;0,903089987;0,903089987;coffee
roaster;0;8;4;0,903089987;0,903089987;coffee
iida;0;8;20;0,903089987;0,903089987;ship
preciou;0;8;11;0,903089987;0,903089987;gold
kramer;0;8;10;0,903089987;0,903089987;gnp
sugarbeet;0;8;22;0,903089987;0,903089987;sugar
carolin;0;8;11;0,903089987;0,903089987;gold
penner;0;8;10;0,903089987;0,903089987;gnp
transco;0;8;17;0,903089987;0,903089987;nat-gas
nicaragua;0;8;4;0,903089987;0,903089987;coffee
channon;0;8;23;0,903089987;0,903089987;trade
ufcwu;0;8;14;0,903089987;0,903089987;livestock
butan;0;8;17;0,903089987;0,903089987;nat-gas
mth;0;8;9;0,903089987;0,903089987;earn
king;0;8;7;0,903089987;0,903089987;crude
dharyono;0;7;4;0,84509804;0,84509804;coffee
erad;0;7;14;0,84509804;0,84509804;livestock
propan;0;7;17;0,84509804;0,84509804;nat-gas
rostenkowski;0;7;23;0,84509804;0,84509804;trade
salmonella;0;7;14;0,84509804;0,84509804;livestock
ined;0;7;14;0,84509804;0,84509804;livestock
anneslei;0;7;1;0,84509804;0,84509804;acq
greek;0;7;20;0,84509804;0,84509804;ship
weinberg;0;7;20;0,84509804;0,84509804;ship
sugarcan;0;7;22;0,84509804;0,84509804;sugar
asamera;0;7;11;0,84509804;0,84509804;gold
nbh;0;7;11;0,84509804;0,84509804;gold
princevil;0;7;1;0,84509804;0,84509804;acq
harcourt;0;7;1;0,84509804;0,84509804;acq
norgold;0;7;11;0,84509804;0,84509804;gold
geplacea;0;7;22;0,84509804;0,84509804;sugar
cenergi;0;6;1;0,77815125;0,77815125;acq
wang;0;6;19;0,77815125;0,77815125;reserves
csbc;0;6;20;0,77815125;0,77815125;ship
arabica;0;6;4;0,77815125;0,77815125;coffee
benchmark;0;6;7;0,77815125;0,77815125;crude
gtx;0;6;1;0,77815125;0,77815125;acq
fatti;0;6;24;0,77815125;0,77815125;veg-oil
billboard;0;6;1;0,77815125;0,77815125;acq
lebanes;0;6;15;0,77815125;0,77815125;money-fx
cruz;0;6;7;0,77815125;0,77815125;crude
infect;0;6;14;0,77815125;0,77815125;livestock
mccoi;0;6;11;0,77815125;0,77815125;gold
bird;0;6;14;0,77815125;0,77815125;livestock
kaul;0;6;4;0,77815125;0,77815125;coffee
palladium;0;6;11;0,77815125;0,77815125;gold
escalant;0;6;4;0,77815125;0,77815125;coffee
versatil;0;6;20;0,77815125;0,77815125;ship
concepcion;0;6;24;0,77815125;0,77815125;veg-oil
bhpgm;0;6;11;0,77815125;0,77815125;gold
abdul;0;6;7;0,77815125;0,77815125;crude
