time;#NA
GDP;gnp
Senat;#NA
Net;#NA
barg;ship
quot;#NA
right;#NA
bought;acq
INC;earn
asset;acq
qualiti;#NA
OFF;#NA
GATT;trade
ton;trade
3;#NA
Ministri;#NA
project;earn
2;#NA
Secur;acq
Sumita;money-fx
discuss;#NA
4;#NA
FALL;#NA
CCC;grain
INFLATION;cpi
underground;crude
shares;acq
sharehold;earn
Fe;earn
trillion;bop
Coffe;coffee
period;dlr
year-on-year;money-fx
Ga;#NA
refin;crude
ROSE;#NA
seawai;#NA
bpd;crude
bpd;crude
stock;earn
Wheat;grain
zone;#NA
REPORT;earn
Wednesdai;#NA
Avg;#NA
mln;#NA
band;#NA
North;#NA
fat;livestock
07/03/04;#NA
borrow;#NA
assai;#NA
CREDITS;interest
2ND;#NA
COFFEE;coffee
leas;#NA
30;#NA
raw;#NA
Gulf;#NA
Gulf;#NA
treasuri;reserves
author;#NA
AWB;wheat
An;#NA
Statist;#NA
Volcker;reserves
SUPPLY;money-supply
calendar;#NA
Sugar;sugar
bpd;crude
TWA;ship
guarante;#NA
pai;#NA
AVERAGE;#NA
NOTE:;#NA
Consum;cpi
anti-ship;ship
measur;#NA
CO;#NA
improv;#NA
subsidi;earn
Ecuador;#NA
gener;#NA
31;#NA
carri;#NA
USAir;earn
elig;#NA
EEP;trade
312;#NA
LOANS;#NA
rang;#NA
1987;#NA
YEN;money-fx
MARCH;#NA
rand;#NA
bag;#NA
STRIKE;earn
Lo;earn
303;#NA
304;#NA
BUSHELS;grain
GIVEN;#NA
Price;cpi
dairi;livestock
committe;#NA
Baker;#NA
Defenc;#NA
1986;#NA
England;#NA
short;#NA
KANSAS;#NA
OF;#NA
note;money-supply
hole;bop
CONSUMER;cpi
water;#NA
Cocoa;cocoa
privat;#NA
cattl;livestock
Stockton;#NA
Bahia;cocoa
REPURCHASES;acq
NATIONAL;reserves
fourth;#NA
DIVIDEND;earn
316;#NA
subsid;#NA
extraordinari;#NA
Phillip;#NA
tax;#NA
YEAR;#NA
Wednesday;#NA
eight;#NA
non-EC;trade
MAY;#NA
hit;earn
action;#NA
repurchas;acq
Program;#NA
seamen;ship
Pai;acq
Kuwaiti;crude
GAS;crude
assist;#NA
enter;#NA
IT;earn
depth;#NA
LOSS;earn
appli;#NA
winter;grain
GAF;#NA
strong;#NA
Zack;#NA
blah;#NA
marin;ship
CCC;grain
sown;grain
40;#NA
strike;earn
5;#NA
rig;crude
past;#NA
stg;money-fx
ICO;coffee
stg;money-fx
earn;earn
sugar;sugar
VS;#NA
Resourc;#NA
PEKING;trade
NIL;#NA
BILLION;#NA
Inc;earn
Gold;gold
years;#NA
pod;#NA
prove;#NA
134;#NA
vote;#NA
UP;#NA
June;#NA
suggest;#NA
low;#NA
Peoria;#NA
Shr;earn
strike;earn
Monei;#NA
shipment;ship
worker;earn
gold;gold
initi;#NA
complet;#NA
156;#NA
154;#NA
missil;#NA
RISE;#NA
15;#NA
Korea;#NA
Track;#NA
stabil;#NA
narrow;#NA
Hous;#NA
remain;#NA
blah;#NA
149;#NA
reflect;#NA
HELP;#NA
Oper;#NA
THE;#NA
requir;#NA
Servic;#NA
Kuwait;crude
Enhancement;#NA
control;acq
vessel;ship
tonner;ship
dividend;earn
175;#NA
season;#NA
Nakason;earn
485;#NA
173;#NA
urg;#NA
period;#NA
Mine;gold
Papandr;#NA
Opec;crude
cash;acq
economi;#NA
ounc;gold
BID;money-supply
ventur;acq
crush;#NA
indirect;#NA
Year;#NA
announc;#NA
CURRENT;#NA
chip;#NA
OFFICIAL;cpi
468;#NA
Bundesbank;reserves
arrang;#NA
Sea;ship
Dealer;#NA
caus;#NA
effect;#NA
feasibl;#NA
Pacif;#NA
high;#NA
latest;#NA
37;#NA
earmark;#NA
billion;#NA
cane;sugar
billion;#NA
system;#NA
;#NA
SETS;#NA
Iraqi;crude
5;#NA
mill;#NA
4;#NA
Amstutz;#NA
2;#NA
1;#NA
Haggard;#NA
cubic;crude
Arabia;crude
Algeria;#NA
indirectli;#NA
put;#NA
line;ship
Colombia;coffee
resum;#NA
consid;#NA
Govern;#NA
49;#NA
transport;#NA
mine;gold
British;#NA
return;#NA
Herrington;#NA
process;#NA
CORP;earn
pct;#NA
;#NA
acquir;acq
beef;livestock
said;#NA
shortag;#NA
All;#NA
semiconductor;gold
TENDER;reserves
beet;sugar
ringgit;money-fx
AND;#NA
head;#NA
FOB;trade
Poehl;reserves
Miyazawa;trade
Borg-Warn;earn
yen;money-fx
SAID;#NA
1st;#NA
execut;#NA
Sila;#NA
DURUM;wheat
call;#NA
Thei;#NA
DLRS;dlr
gross;gnp
protest;#NA
acquisit;acq
bushels;grain
SWITCHED;#NA
EXPORTERS;trade
leader;#NA
temporari;#NA
hectar;#NA
DISCOUNT;acq
coin;money-supply
merger;acq
US-USSR;trade
bushel;grain
labour;earn
impos;trade
soft;#NA
olein;veg-oil
Record;#NA
wheat;wheat
nil;#NA
challeng;#NA
217;#NA
RISES;#NA
free;trade
shr;earn
Shell;crude
effici;#NA
CRUDE;crude
ACCEPTS;#NA
prices;cpi
number;#NA
SOYBEANS;soybean
204;#NA
LICENCES;#NA
21;#NA
BONUS;earn
STOCKS;earn
retail;earn
go;#NA
barlei;grain
Saudi;crude
zinc;#NA
Pari;#NA
aid;#NA
de;#NA
stake;acq
wage;earn
1987/88;#NA
Tariff;trade
Calif;#NA
River;#NA
PIK;acq
However;#NA
Exxon;crude
licenc;#NA
222;#NA
militari;#NA
retali;trade
debt;bop
receiv;#NA
Itali;#NA
SURPLUS;bop
Nine;#NA
Rep;#NA
cocoa;cocoa
ago;#NA
warrant;#NA
Lyng;#NA
proven;#NA
ASCS;#NA
award;#NA
agreements;#NA
265;#NA
3RD;#NA
gold;gold
gold;gold
Aegean;ship
TONNES;ship
drain;#NA
ct;nat-gas
near;#NA
STG;money-fx
258;#NA
lend;#NA
dollar;dlr
254;#NA
pound;money-fx
dollar;dlr
SWW;#NA
exclud;#NA
Iowa;soybean
said;#NA
releas;earn
OILS;veg-oil
EXPECTED;#NA
regist;#NA
25;#NA
certif;#NA
Tehran;#NA
Canadian;#NA
Glickman;#NA
secur;acq
Liro;#NA
amend;#NA
PCT;#NA
tanker;ship
yield;#NA
nine;#NA
council;#NA
Duluth;#NA
refineri;crude
Organiz;#NA
SUGAR;sugar
move;#NA
limit;#NA
TAX;#NA
or;#NA
avail;#NA
third;#NA
Turkish;#NA
prime;#NA
THOUS;#NA
Commod;#NA
two-week;#NA
redund;#NA
Dakota;#NA
protect;trade
Santo;#NA
SAYS;#NA
Qtly;#NA
sterl;money-fx
Santa;earn
administr;#NA
Turkei;#NA
mm;#NA
pressur;#NA
funds;#NA
GRAIN;grain
maize;corn
Germani;#NA
differ;#NA
Cyclop;#NA
larg;#NA
German;#NA
Greec;#NA
SOLD;acq
prior;#NA
buffer;reserves
BORROWINGS;#NA
BUSINESS;#NA
live;livestock
0/92;#NA
Fla;#NA
escort;#NA
statement;#NA
1985/86;#NA
liquid;#NA
Greek;#NA
average;#NA
lb;#NA
RBD;ship
INSPECTIONS;#NA
loss;earn
Spain;#NA
investor;#NA
Toledo;#NA
add;#NA
quotas;#NA
war;#NA
BANK;reserves
naval;ship
real;#NA
VIA;#NA
heavi;#NA
less;#NA
McIvor;#NA
NET;#NA
41;#NA
silver;gold
Mobil;crude
Iranian;#NA
spend;#NA
Rotterdam;#NA
Denver;#NA
Dome;#NA
studi;#NA
acr;#NA
500;#NA
PRICES;cpi
Dauster;#NA
JAN;#NA
HOUSTON;#NA
servic;#NA
ACCOUNT;#NA
Dlr;dlr
sorghum;grain
pipelin;crude
ADDS;#NA
Rev;#NA
Tokyo;money-fx
feder;#NA
22;#NA
23;#NA
27;#NA
28;#NA
EEP;trade
Associat;#NA
30;#NA
Beef;livestock
1985;#NA
31;#NA
load;#NA
split;earn
1988;#NA
QUARTERLY;#NA
face;#NA
PALM;#NA
common;earn
decis;#NA
19;#NA
Silkworm;#NA
DEALERS;#NA
February;#NA
15;#NA
16;#NA
13;#NA
11;#NA
12;#NA
SAO;#NA
CANADA;#NA
20;#NA
ICCO;cocoa
grade;#NA
CUSTOMER;cpi
RATE;interest
Washington;#NA
previous;#NA
conserv;#NA
Encor;#NA
GRANTS;#NA
field;#NA
Note:;#NA
confirm;#NA
REBATE;#NA
keep;#NA
oilse;oilseed
100;#NA
Iran;#NA
M-1;money-supply
both;#NA
WEEK;#NA
M-2;money-supply
Express;#NA
Program;#NA
natur;#NA
Iraq;#NA
Committe;#NA
mth;#NA
confer;#NA
CREDIT;#NA
Blah;#NA
probabl;#NA
Bennett;#NA
follow;#NA
&#3;#NA
;#NA
Shultz;#NA
index;cpi
white;#NA
Industri;#NA
palm;#NA
warship;#NA
USSR;#NA
raid;#NA
result;#NA
well;#NA
Worker;earn
feed;#NA
four;#NA
rain;#NA
dry;#NA
300;#NA
grow;#NA
505;#NA
harvest;grain
PARIS;#NA
298;#NA
via;#NA
accept;#NA
Group;#NA
cover;#NA
