blah;0;645;20;0
coffe;0;471;6;0
buffer;0;220;7;0
ounc;0;175;2;0
harvest;0;171;19;0
acr;0;156;22;0
loss;0;149;8;0
palm;0;148;1;0
ico;0;147;6;0
ton;0;144;2;0
credit;0;125;16;0
strike;0;123;25;0
tokyo;0;121;4;0
cubic;0;109;24;0
gross;0;106;12;0
gnp;0;103;12;0
explor;0;103;24;0
icco;0;101;7;0
baker;0;96;4;0
rain;0;92;19;0
real;0;83;12;0
committe;0;82;5;0
improv;0;82;12;0
poehl;0;82;12;0
grow;0;82;12;0
bag;0;79;6;0
germani;0;79;12;0
acreag;0;78;22;0
certif;0;73;22;0
balanc;0;71;3;0
index;0;70;14;0
iran;0;70;23;0
opec;0;70;23;0
lawson;0;69;12;0
pact;0;68;7;0
white;0;68;17;0
oppos;0;67;5;0
field;0;67;24;0
indonesia;0;66;1;0
ccc;0;66;16;0
prime;0;65;4;0
gatt;0;64;5;0
or;0;63;2;0
senat;0;63;5;0
profit;0;63;8;0
weather;0;63;19;0
urg;0;62;5;0
yeutter;0;62;5;0
colombia;0;62;6;0
guarante;0;62;16;0
well;0;61;24;0
silver;0;59;2;0
cattl;0;59;16;0
amend;0;58;5;0
mm;0;58;19;0
rand;0;57;3;0
slow;0;56;12;0
rev;0;55;8;0
grade;0;54;2;0
associ;0;54;5;0
countertrad;0;54;6;0
ussr;0;54;13;0
congress;0;53;5;0
band;0;53;11;0
enrol;0;53;22;0
resourc;0;52;2;0
quotas;0;52;6;0
conserv;0;52;22;0
narrow;0;51;3;0
moscow;0;51;9;0
england;0;51;11;0
hectar;0;51;19;0
provision;0;50;3;0
financi;0;50;4;0
point;0;50;4;0
acquir;0;49;10;0
glickman;0;48;5;0
tariff;0;48;5;0
secretari;0;48;5;0
added;0;48;6;0
miyazawa;0;47;4;0
effect;0;47;4;0
shultz;0;47;9;0
assist;0;47;11;0
hectares;0;47;19;0
nil;0;46;1;0
pork;0;46;5;0
vote;0;45;5;0
africa;0;45;18;0
venezuela;0;45;24;0
rep;0;44;5;0
barlei;0;44;9;0
winter;0;44;19;0
dauster;0;43;6;0
repurchas;0;43;15;0
meat;0;42;5;0
ibc;0;42;6;0
request;0;42;9;0
flow;0;42;24;0
assai;0;41;2;0
coin;0;41;2;0
beet;0;41;17;0
seamen;0;41;25;0
awb;0;40;9;0
custom;0;40;15;0
soybeans;0;40;22;0
herrington;0;40;24;0
retali;0;39;5;0
head;0;39;16;0
worker;0;39;25;0
third;0;38;3;0
provis;0;38;5;0
indian;0;38;6;0
shortag;0;38;11;0
kuwait;0;38;23;0
iranian;0;38;23;0
kenya;0;37;6;0
add;0;37;15;0
sorghum;0;37;19;0
pipelin;0;36;24;0
texa;0;36;24;0
exxon;0;36;24;0
vessel;0;35;18;0
amstutz;0;35;22;0
refineri;0;35;24;0
registr;0;34;6;0
soft;0;34;9;0
help;0;34;11;0
sterl;0;34;11;0
bonu;0;34;16;0
normal;0;34;19;0
drought;0;34;19;0
dry;0;34;19;0
missil;0;34;23;0
offshor;0;34;24;0
bags;0;33;6;0
sown;0;33;19;0
less;0;33;19;0
short;0;32;2;0
cereal;0;32;9;0
iwc;0;32;9;0
lyng;0;32;9;0
activ;0;32;13;0
santa;0;32;19;0
differenti;0;31;7;0
stake;0;31;10;0
aires;0;31;19;0
cotton;0;31;22;0
saudi;0;31;23;0
december;0;30;3;0
privat;0;30;6;0
differ;0;30;7;0
non-memb;0;30;7;0
subsid;0;30;9;0
fe;0;30;19;0
grower;0;30;19;0
cordoba;0;30;19;0
bushels;0;30;22;0
crush;0;30;22;0
haggard;0;30;22;0
much;0;30;24;0
rotterdam;0;30;25;0
paris;0;29;9;0
slaughter;0;29;16;0
cane;0;29;17;0
acres;0;29;22;0
attack;0;29;23;0
high;0;28;1;0
und;0;28;13;0
base;0;28;14;0
statement;0;28;15;0
ha;0;28;19;0
organ;0;27;7;0
express;0;27;10;0
given;0;27;11;0
fob;0;27;13;0
southern;0;27;19;0
free;0;26;9;0
usair;0;26;10;0
unc;0;26;13;0
average;0;26;13;0
us-ussr;0;26;13;0
raw;0;26;17;0
sunflow;0;26;19;0
damag;0;26;19;0
provinc;0;26;19;0
defici;0;26;22;0
pik;0;26;22;0
imf;0;26;23;0
hole;0;25;2;0
british;0;25;2;0
case;0;25;7;0
shares;0;25;10;0
liquid;0;25;11;0
zambia;0;25;23;0
balletto;0;24;1;0
rapese;0;24;1;0
zone;0;24;2;0
kanon;0;24;7;0
bra;0;24;7;0
malaysia;0;24;7;0
tin;0;24;7;0
merger;0;24;10;0
bale;0;24;13;0
commit;0;24;13;0
temporari;0;24;15;0
load;0;24;18;0
affect;0;24;19;0
ratio;0;24;22;0
frazier;0;24;22;0
seawai;0;24;25;0
calendar;0;23;1;0
project;0;23;2;0
metal;0;23;2;0
start;0;23;2;0
compromis;0;23;7;0
complet;0;23;10;0
partner;0;23;10;0
spain;0;23;11;0
agreements;0;23;15;0
cover;0;23;16;0
cuba;0;23;17;0
div;0;23;21;0
signup;0;23;22;0
arabia;0;23;23;0
labour;0;23;25;0
employ;0;23;25;0
rbd;0;22;1;0
crusher;0;22;1;0
meal;0;22;1;0
studi;0;22;2;0
australian;0;22;9;0
comment;0;22;9;0
year-on-year;0;22;14;0
via;0;22;15;0
sea;0;22;18;0
kuwaiti;0;22;23;0
ventur;0;21;2;0
here;0;21;9;0
countries;0;21;9;0
investor;0;21;10;0
drain;0;21;11;0
receiv;0;21;17;0
river;0;21;18;0
court;0;21;25;0
bean;0;20;1;0
indonesian;0;20;1;0
warrant;0;20;2;0
proven;0;20;2;0
origin;0;20;7;0
cooper;0;20;10;0
gencorp;0;20;10;0
m;0;20;11;0
four-week;0;20;13;0
addit;0;20;16;0
corpor;0;20;16;0
guesstim;0;20;16;0
quot;0;20;23;0
ringgit;0;19;1;0
olein;0;19;1;0
underground;0;19;2;0
toronto;0;19;2;0
discuss;0;19;7;0
ghana;0;19;7;0
control;0;19;10;0
twa;0;19;10;0
live;0;19;14;0
coverag;0;19;16;0
ecus;0;19;17;0
shipbuild;0;19;18;0
apr;0;18;1;0
bullion;0;18;2;0
depth;0;18;2;0
feasibl;0;18;2;0
mill;0;18;2;0
zinc;0;18;2;0
ivorian;0;18;7;0
prefer;0;18;10;0
beghin-sai;0;18;10;0
gaf;0;18;10;0
cyclop;0;18;10;0
shearson;0;18;10;0
today;0;18;11;0
volum;0;18;13;0
dn;0;18;13;0
buyer;0;18;13;0
abov;0;18;13;0
retail;0;18;14;0
algeria;0;18;16;0
prior;0;18;21;0
marin;0;18;25;0
bp;0;17;2;0
platinum;0;17;2;0
citi;0;17;2;0
exclud;0;17;8;0
borg-warn;0;17;10;0
dairi;0;17;16;0
freight;0;17;18;0
boycott;0;17;18;0
norwegian;0;17;18;0
dividend;0;17;21;0
qtly;0;17;21;0
tehran;0;17;23;0
lukman;0;17;23;0
ceil;0;17;23;0
vancouver;0;16;2;0
join;0;16;7;0
present;0;16;7;0
rates;0;16;11;0
overnight;0;16;11;0
inspect;0;16;13;0
wednesday;0;16;15;0
announc;0;16;16;0
tonner;0;16;18;0
auction;0;16;23;0
iraqi;0;16;23;0
iowa;0;16;25;0
session;0;15;7;0
trend;0;15;7;0
want;0;15;7;0
particip;0;15;7;0
public;0;15;11;0
lb;0;15;14;0
reserves;0;15;15;0
arrang;0;15;15;0
window;0;15;15;0
action;0;15;16;0
switch;0;15;16;0
hog;0;15;16;0
previous;0;15;16;0
order;0;15;18;0
inspections;0;15;20;0
thou;0;15;20;0
strait;0;15;23;0
return;0;15;25;0
leader;0;15;25;0
de;0;15;25;0
redund;0;15;25;0
pound;0;14;8;0
discontinu;0;14;8;0
take;0;14;11;0
afternoon;0;14;11;0
befor;0;14;11;0
however;0;14;11;0
rang;0;14;13;0
offic;0;14;14;0
enter;0;14;15;0
two-week;0;14;15;0
ban;0;14;18;0
build;0;14;18;0
sai;0;14;23;0
escort;0;14;23;0
war;0;14;23;0
keep;0;14;23;0
western;0;14;25;0
protest;0;14;25;0
wage;0;14;25;0
far;0;13;11;0
look;0;13;11;0
lend;0;13;11;0
latest;0;13;15;0
indirectli;0;13;15;0
larg;0;13;15;0
egypt;0;13;16;0
avail;0;13;16;0
poultri;0;13;16;0
wait;0;13;18;0
wind;0;13;18;0
anti-ship;0;13;23;0
silkworm;0;13;23;0
transport;0;13;25;0
traffic;0;13;25;0
lake;0;13;25;0
lockout;0;13;25;0
nine;0;12;8;0
avg;0;12;8;0
pressur;0;12;15;0
earmark;0;12;16;0
versu;0;12;16;0
durum;0;12;16;0
portland;0;12;18;0
greec;0;12;18;0
water;0;12;18;0
hit;0;12;23;0
defenc;0;12;23;0
raid;0;12;23;0
hour;0;12;25;0
dakota;0;12;25;0
cargil;0;12;25;0
resum;0;12;25;0
process;0;12;25;0
local;0;12;25;0
face;0;12;25;0
forc;0;12;25;0
respectively;0;11;8;0
fuel;0;11;14;0
year-ago;0;11;14;0
follow;0;11;14;0
trading;0;11;15;0
suggest;0;11;15;0
began;0;11;15;0
funds;0;11;15;0
bangladesh;0;11;16;0
regist;0;11;16;0
turkish;0;11;18;0
norwai;0;11;18;0
yard;0;11;18;0
past;0;11;23;0
newspap;0;11;23;0
lift;0;11;23;0
hormuz;0;11;23;0
be;0;11;23;0
protect;0;11;23;0
warship;0;11;23;0
zack;0;11;25;0
rio;0;11;25;0
janeiro;0;11;25;0
bureau;0;10;14;0
stand;0;10;14;0
months;0;10;14;0
indirect;0;10;15;0
banks;0;10;15;0
liro;0;10;15;0
wednesdai;0;10;15;0
corporation;0;10;16;0
gsm-;0;10;16;0
left;0;10;18;0
fix;0;10;18;0
meatpack;0;10;25;0
striker;0;10;25;0
van;0;10;25;0
main;0;10;25;0
extraordinari;0;9;8;0
asc;0;9;8;0
yesterday;0;9;15;0
releas;0;9;15;0
probabl;0;9;15;0
morocco;0;9;16;0
elig;0;9;16;0
initi;0;9;16;0
years;0;9;16;0
award;0;9;16;0
form;0;9;16;0
payout;0;9;21;0
ashland;0;8;8;0
mth;0;8;8;0
labor;0;8;14;0
coal;0;8;14;0
tallow;0;8;14;0
float;0;8;15;0
indic;0;8;15;0
excess;0;8;15;0
semolina;0;8;16;0
intermedi;0;8;16;0
grant;0;8;20;0
bhp;0;7;8;0
split;0;7;21;0
quarterli;0;7;21;0
expens;0;6;8;0
operations;0;6;8;0
sumita;0;6;20;0
licenc;0;6;20;0
incom;0;5;8;0
ohio;0;5;8;0
servic;0;5;8;0
yr;0;5;8;0
volcker;0;5;20;0
put;0;5;20;0
declar;0;5;21;0
payabl;0;5;21;0
guilder;0;4;8;0
divis;0;4;8;0
difficult;0;4;8;0
acquisitions;0;4;8;0
mattress;0;4;8;0
four;0;4;8;0
flour;0;4;8;0
bu;0;4;20;0
holder;0;4;21;0
ivei;0;3;21;0
mthly;0;3;21;0
cm;0;3;21;0
pa;0;3;21;0
advertis;0;3;21;0
vishai;0;3;21;0
name;0;2;21;0
bancorp;0;2;21;0
eldorado;0;2;21;0
calif;0;2;21;0
regular;0;2;21;0
san;0;2;21;0
