;-3.0330925828506583;96423;12
plastic;0.0;1;21
float;0.0;8;15
time;-1.5727018740767185;132;9
financ;-1.047758003970958;115;4
meatpack;0.0;10;25
quot;0.0;20;23
bought;-0.7466944330548824;35;1
unchang;-0.6236548495681085;38;9
portland;0.0;12;18
asset;-0.34883209584303193;36;3
told;-1.766322343792596;291;4
respectively;0.0;11;8
meet;-1.574381693323912;315;6
statist;-0.6930128020601277;61;14
-;-3.1049669612532522;2825;4
project;0.0;23;2
european;-0.9747315559129313;170;5
fed;-0.6305027109516425;183;15
feb;-1.3232203047405044;63;1
discuss;0.0;19;7
underground;0.0;19;2
propos;-0.9287806564578986;268;5
spec;0.0;1;21
rev;0.0;55;8
sharehold;-0.439669879401343;25;10
depart;-1.8222182737166415;355;16
bullion;0.0;18;2
made;-0.9915846028707685;70;9
commerci;-0.2711893730418441;13;25
net;-1.1248253160005763;237;8
mateo;0.0;1;21
bangladesh;0.0;11;16
yesterdai;-0.6901856760188042;26;25
ivorian;0.0;18;7
soybeans;0.0;40;22
year-on-year;0.0;22;14
member;-0.6024402635203422;62;7
taiwan;-0.9566190664674448;137;19
kanon;0.0;24;7
hous;-0.8929313335309179;124;5
refin;-0.6365141682948128;51;24
hour;0.0;12;25
join;0.0;16;7
tonn;-2.030591249174722;1390;1
m;0.0;20;11
seawai;0.0;24;25
labor;0.0;8;14
brazil;-0.7010634662908097;229;6
invest;-1.0625267995246257;122;12
new;-2.840677388999415;1051;4
semolina;0.0;8;16
p;-0.5297061990576545;18;11
striker;0.0;10;25
base;0.0;28;14
volcker;0.0;5;20
public;0.0;15;11
zone;0.0;24;2
rep;0.0;44;5
greec;0.0;12;18
congress;0.0;53;5
drop;-1.4671908059018617;168;12
morocco;0.0;9;16
march;-3.088239554683396;2235;3
shipbuild;0.0;19;18
band;0.0;53;11
pct;-1.523007819534662;422;12
maiz;-0.6619902821573977;149;19
miyazawa;0.0;47;4
bank;-1.7395708158643868;1273;4
jan;-0.6474466390346325;20;20
bushels;0.0;30;22
fat;-0.625992428448626;69;5
yesterday;0.0;9;15
far;0.0;13;11
dai;-0.48257756517701206;64;24
balletto;0.0;24;1
much;0.0;30;24
borrow;-0.9198124794202274;61;15
assai;0.0;41;2
crude;-1.09730930071072;165;24
ashland;0.0;8;8
volum;0.0;18;13
prefer;0.0;18;10
make;-1.2517480935840157;143;5
countri;-2.062787606351526;413;6
signup;0.0;23;22
incom;0.0;5;8
raw;0.0;26;17
van;0.0;10;25
bill;-0.8042076609385211;269;5
glickman;0.0;48;5
through;-1.0110402106104204;82;5
treasuri;-1.0375665494331017;143;4
borg-warn;0.0;17;10
farm;-0.5257426965541244;283;5
approv;-0.8690553980696318;110;5
author;-1.1733579601718245;93;4
declar;0.0;5;21
coal;0.0;8;14
name;0.0;2;21
fuel;0.0;11;14
rbd;0.0;22;1
talk;-1.1723722212396661;136;6
calendar;0.0;23;1
april;-2.653937946618269;540;4
bpd;-0.6383040000407103;128;24
manag;-1.033308356143596;65;7
guarante;0.0;62;16
pai;-0.6916031758694977;36;21
main;0.0;10;25
take;0.0;14;11
anti-ship;0.0;13;23
measur;-0.6365141682948128;24;11
improv;0.0;82;12
capit;-0.6931471805599453;70;3
differenti;0.0;31;7
energi;-0.5316460202231217;143;24
subsidi;-0.49356519202546545;82;9
govern;-2.5116925591519355;748;12
lower;-1.8992141684091908;265;12
gener;-1.3217088584429328;111;5
deposit;-0.6859298002523728;75;3
elig;0.0;9;16
ecus;0.0;19;17
intermedi;0.0;8;16
help;0.0;34;11
given;0.0;27;11
rang;0.0;14;13
report;-2.521908663311591;698;12
rand;0.0;57;3
ban;0.0;14;18
support;-1.3341214031736828;131;4
bag;0.0;79;6
hold;-0.6918538909574949;59;3
amstutz;0.0;35;22
rose;-1.6082394959338704;511;3
session;0.0;15;7
compromis;0.0;23;7
western;0.0;14;25
dairi;0.0;17;16
committe;0.0;82;5
express;0.0;27;10
build;0.0;14;18
vancouver;0.0;16;2
short;0.0;32;2
ministri;-0.9505876382725391;89;4
adjust;-0.6324560311805818;58;3
note;-0.5235863374812598;23;11
trading;0.0;11;15
hole;0.0;25;2
water;0.0;12;18
addit;0.0;20;16
privat;0.0;30;6
cattl;0.0;59;16
bancorp;0.0;2;21
unknown;-0.5004024235381879;25;13
fourth;-1.1057063938383773;124;12
reserves;0.0;15;15
per;-2.2765191324257295;477;2
offic;0.0;14;14
subsid;0.0;30;9
zack;0.0;11;25
cut;-1.5178079154495823;369;12
guilder;0.0;4;8
financi;0.0;50;4
extraordinari;0.0;9;8
divis;0.0;4;8
crusher;0.0;22;1
eight;-0.6890092384766586;11;8
spain;0.0;23;11
eldorado;0.0;2;21
hit;0.0;12;23
january;-0.9840865030829147;208;3
request;0.0;42;9
action;0.0;15;16
repurchas;0.0;43;15
seamen;0.0;41;25
analyst;-1.5264336466298287;200;22
dakota;0.0;12;25
januari;-1.5073720808187976;340;3
contract;-1.3169517110886921;134;19
here;0.0;21;9
assist;0.0;47;11
enter;0.0;14;15
defici;0.0;26;22
depth;0.0;18;2
cooper;0.0;20;10
cargil;0.0;12;25
economist;-0.807749986906031;138;12
winter;0.0;44;19
tallow;0.0;8;14
blah;0.0;645;20
chairman;-0.6778256350201861;63;5
marin;0.0;18;25
bhp;0.0;7;8
agricultur;-1.8014404365327419;517;5
declin;-1.430924089697379;203;12
rate;-1.7527084594694655;994;12
sown;0.0;33;19
econom;-0.7924186362028043;396;12
below;-1.2722772522777808;49;17
valu;-0.6881388137135884;40;2
develop;-0.5982695885852573;77;24
bid;-0.6748952737438281;42;10
major;-1.3831766548030244;213;4
rio;0.0;11;25
annual;-0.4361623253853443;76;12
added;0.0;48;6
icco;0.0;101;7
agreement;-1.8611073192847472;379;4
indian;0.0;38;6
produc;-2.047038398872711;615;6
spokesman;-1.2011692866245662;83;25
offer;-1.9408060985960682;411;9
past;0.0;11;23
provision;0.0;50;3
cereal;0.0;32;9
pik;0.0;26;22
plan;-1.6375903667731668;239;5
tender;-1.2062859825740488;120;17
earn;-0.6365141682948128;39;10
daili;-0.9227033319629401;50;19
sugar;-0.18605897828072895;480;17
wilcox;0.0;1;21
smed;0.0;1;21
distribut;0.0;1;21
flow;0.0;42;24
brazilian;-0.9094298380410113;84;6
countries;0.0;21;9
expir;0.0;1;21
estim;-2.128476080827097;365;19
interest;-1.475396384824844;287;12
year;-2.771874190410252;2373;12
bureau;0.0;10;14
vote;0.0;45;5
under;-2.0853531040545445;272;5
suggest;0.0;11;15
cmc;0.0;1;21
system;-1.2239473235840976;66;11
sourc;-2.1701616721741996;374;6
low;-0.6904011819103343;54;6
pref;0.0;1;21
conn;0.0;1;21
oklahoma;0.0;1;21
difficult;0.0;4;8
lawson;0.0;69;12
strike;0.0;123;25
iwc;0.0;32;9
american;-0.8944858279446165;119;5
gnp;0.0;103;12
moscow;0.0;51;9
agreements;0.0;23;15
worker;0.0;39;25
gold;-0.30744941602875425;445;2
initi;0.0;9;16
reuter;-0.667431707658747;31;7
complet;0.0;23;10
holder;0.0;4;21
missil;0.0;34;23
repres;-0.6429124396658009;70;5
averag;-1.7620961234316401;248;12
rates;0.0;16;11
stabil;-0.38116919310581715;55;4
beghin-sai;0.0;18;10
oppos;0.0;67;5
narrow;0.0;51;3
remain;-0.7833889538092265;79;12
defenc;0.0;12;23
south;-1.4725296873924063;168;18
down;-2.290494214583971;359;19
reflect;-0.649248354870898;34;7
world;-2.002069914949462;337;1
week;-2.492096385412781;732;13
good;-0.8356325914188993;90;12
germani;0.0;79;12
earli;-0.6581099875431143;38;11
ivei;0.0;3;21
requir;-0.7365456429506485;87;5
metal;0.0;23;2
busi;-0.6210863745552451;32;10
calif;0.0;2;21
chicago;-1.0145867086436604;85;13
china;-1.6993020255567466;192;19
demand;-1.3359803284566412;187;12
control;0.0;19;10
tonnes;-1.506778489313227;357;19
vessel;0.0;35;18
tonner;0.0;16;18
dividend;0.0;17;21
urg;0.0;62;5
period;-1.3966300659943336;95;15
payabl;0.0;5;21
cost;-1.7662821646180866;183;24
usair;0.0;26;10
shares;0.0;25;10
december;0.0;30;3
cash;-0.6542455129998856;83;22
economi;-0.44448254660960673;178;12
case;0.0;25;7
corpor;0.0;20;16
ounc;0.0;175;2
ltd;-1.0776794385890478;116;2
quarter;-0.8491991485343203;362;12
ventur;0.0;21;2
crush;0.0;30;22
australian;0.0;22;9
janeiro;0.0;11;25
veget;-0.943487822483503;133;1
corp;-1.3078394131781184;215;10
corn;-1.1755756041328076;532;13
consum;-1.0750624487779472;231;7
indirect;0.0;10;15
announc;0.0;16;16
drill;-0.6188880785891757;113;24
futur;-1.0852832707020252;91;24
regular;0.0;2;21
forecast;-1.1303867595631483;412;12
arrang;0.0;15;15
rebat;-0.9024823537721738;83;17
silkworm;0.0;13;23
unit;-1.9807158028866065;296;4
seven;-0.8537663553523638;42;19
effect;0.0;47;4
feasibl;0.0;18;2
freight;0.0;17;18
sumita;0.0;6;20
chang;-1.2674216127415012;152;22
high;0.0;28;1
reduc;-0.6508180758715587;45;19
latest;0.0;13;15
earmark;0.0;12;16
deficit;-1.268275835921954;485;3
cane;0.0;29;17
sai;0.0;14;23
inflat;-0.7585377925653409;212;12
industri;-1.9957434819788813;387;4
corporation;0.0;10;16
mill;0.0;18;2
stock;-1.697388162111325;451;7
bra;0.0;24;7
ccc;0.0;66;16
sold;-1.0474340283500256;56;9
