histor;2,1065773332321154;14;8
yukon;1,0397207708399179;4;11
kerna;0,0;3;17
profession;1,7917594692280547;6;1
religi;0,0;1;24
dinar;0,0;4;19
advances;0,6931471805599453;2;13
seaman;0,0;2;20
fertilizer;0,6931471805599453;2;25
purol;0,0;8;1
shopuld;0,6931471805599453;2;17
financ;2,8520444734286383;237;10
scrimgeour;0,6931471805599453;2;16
materials;1,7478680974667573;7;10
zeid;0,0;1;19
event;2,0431918705451206;9;15
florida;1,3592367006650063;10;22
declared;0,6365141682948128;3;3
slope;0,6931471805599453;2;17
erbamont;0,0;2;1
jen;0,6931471805599453;2;3
advanced;1,3321790402101223;5;18
materiali;0,0;1;17
jet;0,6931471805599453;2;1
arthur;1,0986122886681096;3;17
mitsubishi;1,0735428464085233;8;20
gasoline;1,0986122886681096;3;17
answer;2,3959081192939284;15;23
regard;2,395274179670176;26;8
meet;2,8038567399712115;458;4
mees;0,0;1;7
steadi;2,728038372752095;59;22
creditworthiness;0,6931471805599453;2;6
median;0,6931471805599453;2;17
dawn;0,0;1;12
european;2,793081949632419;302;22
monmouth;0,0;2;20
payments;2,4142351166063802;29;25
kuroda;0,0;1;23
disast;1,2805340475238802;19;25
components;0,0;1;6
torrid;0,0;1;16
steady;0,6931471805599453;2;10
balfour;1,3862943611198906;4;18
spec;0,0;1;9
temperton;0,0;2;13
accordingly;0,0;2;22
resili;0,0;1;15
overtli;1,3862943611198906;4;16
biggest;2,5308449784233185;33;7
globally;0,0;1;1
francais;1,3296613488547582;6;7
relief;1,8158716091641551;27;10
concerted;0,0;1;8
inefficient;0,0;1;22
commemor;0,0;3;11
advised;0,0;1;2
elabor;1,3862943611198906;8;8
ronald;1,5607104090414063;6;23
timet;0,6365141682948128;3;14
dril;0,0;1;11
seattle;0,0;1;1
guidelines;1,0397207708399179;4;4
times;1,7917594692280547;6;17
timex;0,0;2;1
jacqu;1,7351264569629226;9;6
watanab;0,0;2;23
sympathis;0,0;1;22
stenholm;0,6730116670092565;5;25
inabl;0,5623351446188083;4;23
experts;0,0;1;1
cranes;0,0;1;20
forfeitures;0,0;2;12
melbourne;1,2798542258336674;10;25
fruits;1,0986122886681096;3;22
erupt;0,6931471805599453;2;21
rectifi;0,6931471805599453;2;18
westar;0,0;3;9
cutting;0,0;1;20
discrimin;0,0;1;23
vagu;1,0986122886681096;3;8
esso;0,410116318288409;7;22
pleasantville;0,0;1;9
snowbal;0,0;1;10
economiqu;0,0;1;10
ports;1,4708084763221114;10;20
days;2,664528451834694;33;16
safeguard;1,0986122886681096;3;3
overbeek;0,0;1;4
este;0,0;2;23
