shr;0;95;9;1,977723605;1,977723605
icco;0,105052116;108;3;2,033423755;1,840115706
gold;0,534240125;474;11;2,675778342;1,74404143
ounc;0,32686441;193;11;2,285557309;1,722525144
ico;0,307196525;154;4;2,187520721;1,673444413
coffe;0,623475129;505;4;2,703291378;1,66512645
cocoa;0,523979966;325;3;2,511883361;1,648239095
ibc;0;42;4;1,62324929;1,62324929
buffer;0,462063397;234;3;2,369215857;1,620460413
cattl;0,19756956;73;14;1,86332286;1,555920359
slaughter;0;35;14;1,544068044;1,544068044
rev;0,152005311;57;9;1,755874856;1,524189897
bpd;0,391698395;128;7;2,10720997;1,514128332
sugar;0,817884561;550;22;2,740362689;1,507445934
beet;0,110453047;43;22;1,633468456;1,470992817
div;0;29;9;1,462397998;1,462397998
mine;0,644053917;240;11;2,380211242;1,447769576
usair;0;27;1;1,431363764;1,431363764
pdvsa;0;23;7;1,361727836;1,361727836
dauster;0,220352331;43;4;1,633468456;1,33852201
vs;0,946049933;386;9;2,586587305;1,329147449
gencorp;0;21;1;1,322219295;1,322219295
czarnikow;0;20;22;1,301029996;1,301029996
twa;0;20;1;1,301029996;1,301029996
temporao;0;20;3;1,301029996;1,301029996
guesstim;0;20;14;1,301029996;1,301029996
cubic;0,594662332;110;17;2,041392685;1,280141033
assai;0,261764483;41;11;1,612783857;1,278197222
coin;0,359672556;53;11;1,72427587;1,268155235
gaf;0;18;1;1,255272505;1,255272505
bullion;0;18;11;1,255272505;1,255272505
cyclop;0;18;1;1,255272505;1,255272505
ga;1,049312752;365;17;2,562292864;1,250318119
colombia;0,488750869;71;4;1,851258349;1,243497745
ct;0,870317142;207;9;2,315970345;1,238276811
beef;0,710156573;129;14;2,11058971;1,234149986
lukman;0;17;7;1,230448921;1,230448921
qtly;0;17;9;1,230448921;1,230448921
dixon;0;17;1;1,230448921;1,230448921
mhi;0;17;20;1,230448921;1,230448921
meat;0,569862338;79;14;1,897627091;1,208785666
hernandez;0;16;7;1,204119983;1,204119983
gaviria;0;16;4;1,204119983;1,204119983
transamerican;0;16;17;1,204119983;1,204119983
darman;0;16;15;1,204119983;1,204119983
shipbuild;0,167944148;25;20;1,397940009;1,196923681
opec;0,695030445;102;7;2,008600172;1,184993566
borg;0,173205207;24;1;1,380211242;1,176444866
managua;0;15;4;1,176091259;1,176091259
yulo;0;15;22;1,176091259;1,176091259
silver;0,568992773;68;11;1,832508913;1,167952424
discontinu;0;14;9;1,146128036;1,146128036
cpc;0;14;1;1,146128036;1,146128036
