;-3.0330925828506583;96423;12;#NA
time;-1.5727018740767185;132;9;#NA
quot;0.0;20;23;#NA
bought;-0.7466944330548824;35;1;acq
unchang;-0.6236548495681085;38;9;#NA
asset;-0.34883209584303193;36;3;acq
told;-1.766322343792596;291;4;#NA
meet;-1.574381693323912;315;6;#NA
-;-3.1049669612532522;2825;4;#NA
project;0.0;23;2;earn
discuss;0.0;19;7;#NA
underground;0.0;19;2;crude
propos;-0.9287806564578986;268;5;#NA
sharehold;-0.439669879401343;25;10;earn
depart;-1.8222182737166415;355;16;#NA
made;-0.9915846028707685;70;9;#NA
net;-1.1248253160005763;237;8;bop
yesterdai;-0.6901856760188042;26;25;#NA
year-on-year;0.0;22;14;money-fx
member;-0.6024402635203422;62;7;#NA
refin;-0.6365141682948128;51;24;crude
hour;0.0;12;25;#NA
tonn;-2.030591249174722;1390;1;ship
seawai;0.0;24;25;#NA
invest;-1.0625267995246257;122;12;earn
new;-2.840677388999415;1051;4;#NA
base;0.0;28;14;#NA
zone;0.0;24;2;#NA
drop;-1.4671908059018617;168;12;#NA
band;0.0;53;11;#NA
pct;-1.523007819534662;422;12;#NA
maiz;-0.6619902821573977;149;19;grain
bank;-1.7395708158643868;1273;4;#NA
bushels;0.0;30;22;grain
fat;-0.625992428448626;69;5;livestock
dai;-0.48257756517701206;64;24;#NA
borrow;-0.9198124794202274;61;15;#NA
assai;0.0;41;2;#NA
crude;-1.09730930071072;165;24;crude
make;-1.2517480935840157;143;5;#NA
countri;-2.062787606351526;413;6;#NA
raw;0.0;26;17;#NA
bill;-0.8042076609385211;269;5;#NA
through;-1.0110402106104204;82;5;#NA
treasuri;-1.0375665494331017;143;4;reserves
farm;-0.5257426965541244;283;5;#NA
approv;-0.8690553980696318;110;5;#NA
author;-1.1733579601718245;93;4;#NA
talk;-1.1723722212396661;136;6;#NA
calendar;0.0;23;1;#NA
bpd;-0.6383040000407103;128;24;crude
manag;-1.033308356143596;65;7;#NA
guarante;0.0;62;16;#NA
pai;-0.6916031758694977;36;21;#NA
take;0.0;14;11;#NA
anti-ship;0.0;13;23;ship
measur;-0.6365141682948128;24;11;#NA
improv;0.0;82;12;#NA
capit;-0.6931471805599453;70;3;#NA
energi;-0.5316460202231217;143;24;crude
subsidi;-0.49356519202546545;82;9;earn
govern;-2.5116925591519355;748;12;#NA
lower;-1.8992141684091908;265;12;#NA
gener;-1.3217088584429328;111;5;#NA
deposit;-0.6859298002523728;75;3;#NA
elig;0.0;9;16;#NA
help;0.0;34;11;#NA
rang;0.0;14;13;#NA
report;-2.521908663311591;698;12;#NA
rand;0.0;57;3;#NA
support;-1.3341214031736828;131;4;#NA
bag;0.0;79;6;#NA
hold;-0.6918538909574949;59;3;#NA
rose;-1.6082394959338704;511;3;#NA
dairi;0.0;17;16;livestock
committe;0.0;82;5;#NA
short;0.0;32;2;#NA
adjust;-0.6324560311805818;58;3;#NA
note;-0.5235863374812598;23;11;money-supply
hole;0.0;25;2;bop
water;0.0;12;18;#NA
addit;0.0;20;16;#NA
privat;0.0;30;6;#NA
cattl;0.0;59;16;livestock
fourth;-1.1057063938383773;124;12;#NA
per;-2.2765191324257295;477;2;gnp
subsid;0.0;30;9;#NA
cut;-1.5178079154495823;369;12;earn
financi;0.0;50;4;#NA
extraordinari;0.0;9;8;#NA
eight;-0.6890092384766586;11;8;#NA
hit;0.0;12;23;earn
